run_id,timestamp,source,chord_length_mm,leading_edge_angle_deg,leading_edge_thickness_level,trailing_edge_angle_deg,trailing_edge_thickness_mm,te_upr_angle_deg,te_lwr_angle_deg,alpha_deg,velocidad_kmh,reynolds,CL,CD,CM,LD,status,error_detail
0033_20260714_102351,2026-07-14T10:23:51,sobol_ext_low,164.993589,7.080626,0.770735,160.072614,3.790875,7.093123,-7.397906,-6,110,341205,,,,,error_xfoil_no_converge,TE-real no converge a-6 v110
0033_20260714_102351,2026-07-14T10:23:51,sobol_ext_low,164.993589,7.080626,0.770735,160.072614,3.790875,7.093123,-7.397906,-8,110,341205,,,,,error_xfoil_no_converge,TE-real no converge a-8 v110
0033_20260714_102351,2026-07-14T10:23:51,sobol_ext_low,164.993589,7.080626,0.770735,160.072614,3.790875,7.093123,-7.397906,-10,110,341205,,,,,error_xfoil_no_converge,TE-real no converge a-10 v110
0033_20260714_102351,2026-07-14T10:23:51,sobol_ext_low,164.993589,7.080626,0.770735,160.072614,3.790875,7.093123,-7.397906,0,180,558335,-0.6585,0.02504,0.1914,-26.297923322683705,ok,
0033_20260714_102351,2026-07-14T10:23:51,sobol_ext_low,164.993589,7.080626,0.770735,160.072614,3.790875,7.093123,-7.397906,-2,180,558335,-0.9042,0.02547,0.1938,-35.50058892815077,ok,
0033_20260714_102351,2026-07-14T10:23:51,sobol_ext_low,164.993589,7.080626,0.770735,160.072614,3.790875,7.093123,-7.397906,-4,180,558335,-1.2173,0.02966,0.21,-41.04180714767364,ok,
0033_20260714_102351,2026-07-14T10:23:51,sobol_ext_low,164.993589,7.080626,0.770735,160.072614,3.790875,7.093123,-7.397906,-6,180,558335,-1.4422,0.03633,0.2073,-39.6972199284338,ok,
0033_20260714_102351,2026-07-14T10:23:51,sobol_ext_low,164.993589,7.080626,0.770735,160.072614,3.790875,7.093123,-7.397906,-8,180,558335,-1.6319,0.0426,0.1998,-38.3075117370892,ok,
0033_20260714_102351,2026-07-14T10:23:51,sobol_ext_low,164.993589,7.080626,0.770735,160.072614,3.790875,7.093123,-7.397906,-10,180,558335,,,,,error_xfoil_no_converge,TE-real no converge a-10 v180
0033_20260714_102351,2026-07-14T10:23:51,sobol_ext_low,164.993589,7.080626,0.770735,160.072614,3.790875,7.093123,-7.397906,-12,180,558335,,,,,error_xfoil_no_converge,TE-real no converge a-12 v180
0033_20260714_102351,2026-07-14T10:23:51,sobol_ext_low,164.993589,7.080626,0.770735,160.072614,3.790875,7.093123,-7.397906,0,290,899539,-0.6978,0.02097,0.2,-33.276108726752504,ok,
0033_20260714_102351,2026-07-14T10:23:51,sobol_ext_low,164.993589,7.080626,0.770735,160.072614,3.790875,7.093123,-7.397906,-2,290,899539,-0.9083,0.02248,0.195,-40.40480427046264,ok,
0033_20260714_102351,2026-07-14T10:23:51,sobol_ext_low,164.993589,7.080626,0.770735,160.072614,3.790875,7.093123,-7.397906,-4,290,899539,-1.1559,0.02527,0.1973,-45.74198654531064,ok,
0033_20260714_102351,2026-07-14T10:23:51,sobol_ext_low,164.993589,7.080626,0.770735,160.072614,3.790875,7.093123,-7.397906,-6,290,899539,-1.3763,0.02836,0.1941,-48.52961918194641,ok,
0033_20260714_102351,2026-07-14T10:23:51,sobol_ext_low,164.993589,7.080626,0.770735,160.072614,3.790875,7.093123,-7.397906,-8,290,899539,-1.6014,0.03232,0.1933,-49.54826732673267,ok,
0033_20260714_102351,2026-07-14T10:23:51,sobol_ext_low,164.993589,7.080626,0.770735,160.072614,3.790875,7.093123,-7.397906,-10,290,899539,,,,,error_xfoil_no_converge,TE-real no converge a-10 v290
